entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,period,trade_id
2015-05-11,2015-05-14,175.7648,176.9127,163,187.11,15.1572,15.267,30.4243,False,3,OEX,CALENDAR,IS,171
2015-05-21,2015-05-22,178.1766,177.563,162,-99.4,15.2584,15.224,30.4824,False,1,PRE_HOLIDAY,CALENDAR,IS,172
2015-05-28,2015-06-03,177.3087,176.6709,162,-103.32,15.1905,15.1494,30.3399,False,4,TOM,CALENDAR,IS,173
2015-06-15,2015-06-18,174.5129,177.3879,164,471.5,15.1435,15.3963,30.5398,False,3,"OEX,PRE_HOLIDAY",CALENDAR,IS,174
2015-06-29,2015-07-06,172.2674,173.1741,169,153.22,15.4198,15.5118,30.9317,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,175
2015-07-13,2015-07-16,175.9153,177.8487,166,320.93,15.4518,15.6287,31.0806,False,3,OEX,CALENDAR,IS,176
2015-07-30,2015-08-05,176.7958,175.9805,167,-136.15,15.6169,15.5608,31.1777,False,4,TOM,CALENDAR,IS,177
2015-08-17,2015-08-20,176.6029,170.8702,166,-951.64,15.504,15.047,30.551,False,3,OEX,CALENDAR,IS,178
2015-08-28,2015-09-04,167.1187,161.3365,170,-982.96,15.0954,14.6194,29.7148,False,5,"PRE_HOLIDAY,TOM",CALENDAR,IS,179
2015-09-14,2015-09-17,164.3765,167.318,167,491.23,14.603,14.8641,29.4672,False,3,OEX,CALENDAR,IS,180
2015-09-29,2015-10-05,158.5801,167.1269,176,1504.23,14.8685,15.6355,30.504,False,4,TOM,CALENDAR,IS,181
2015-10-12,2015-10-15,169.8756,170.3943,173,89.74,15.5871,15.6496,31.2366,False,3,OEX,CALENDAR,IS,182
2015-10-29,2015-11-04,176.0375,177.1396,168,185.15,15.6485,15.7551,31.4036,False,4,TOM,CALENDAR,IS,183
2015-11-16,2015-11-19,173.3316,175.6154,172,392.81,15.7912,16.0033,31.7945,False,3,OEX,CALENDAR,IS,184
2015-11-24,2015-11-25,176.4758,176.2638,171,-36.26,15.9668,15.9637,31.9304,False,1,PRE_HOLIDAY,CALENDAR,IS,185
