z_lookback,z_threshold,iwm_heavy_pct,min_hold_days,dma_window,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps,avg_cost_bps
45,1.5,0.7,3,150,0.4733,0.0559,-0.2814,1.389,434,433,0.5853,1.3548,25.16,2.1212
45,1.5,0.7,3,200,0.4669,0.0559,-0.2907,1.3867,420,419,0.569,1.3386,25.61,1.6583
45,1.5,0.7,5,150,0.5812,0.0708,-0.2351,1.9866,340,339,0.5971,1.4778,37.86,1.9891
45,1.5,0.7,5,200,0.6091,0.0755,-0.2114,2.2024,338,337,0.6065,1.4996,39.87,1.6898
60,0.75,0.55,2,150,0.5044,0.0598,-0.2459,1.5321,517,516,0.5532,1.3301,22.39,1.7482
60,0.75,0.55,2,200,0.4686,0.0551,-0.2877,1.3571,487,486,0.5606,1.3007,21.93,1.3517
60,0.75,0.55,3,150,0.5318,0.0641,-0.2631,1.7031,442,441,0.5747,1.3788,27.32,1.7771
60,0.75,0.55,3,200,0.4759,0.0568,-0.2854,1.4189,422,421,0.5711,1.3278,25.71,1.3786
60,0.75,0.55,5,150,0.539,0.0644,-0.2325,1.7142,350,349,0.5743,1.4083,34.01,1.7148
60,0.75,0.55,5,200,0.5992,0.0737,-0.2386,2.117,347,346,0.585,1.4625,37.91,1.4123
60,0.75,0.6,2,150,0.51,0.0606,-0.2463,1.5615,517,516,0.5532,1.3347,22.68,1.8304
60,0.75,0.6,2,200,0.473,0.0557,-0.2851,1.3802,487,486,0.5606,1.3045,22.21,1.44
60,0.75,0.6,3,150,0.5333,0.0644,-0.2667,1.7123,442,441,0.5724,1.3808,27.46,1.8591
60,0.75,0.6,3,200,0.4758,0.0568,-0.2848,1.4197,422,421,0.5687,1.3286,25.79,1.467
60,0.75,0.6,5,150,0.5377,0.0642,-0.2329,1.7063,350,349,0.5771,1.408,33.99,1.7965
60,0.75,0.6,5,200,0.6001,0.0738,-0.2365,2.1249,347,346,0.5879,1.4644,38.05,1.499
60,0.75,0.65,2,150,0.5153,0.0613,-0.2466,1.5908,517,516,0.5551,1.3392,22.97,1.9131
60,0.75,0.65,2,200,0.4772,0.0563,-0.2824,1.4031,487,486,0.5626,1.3083,22.48,1.5288
60,0.75,0.65,3,150,0.5345,0.0646,-0.2703,1.7211,442,441,0.5724,1.3826,27.61,1.9416
60,0.75,0.65,3,200,0.4753,0.0568,-0.2841,1.4201,422,421,0.5687,1.3294,25.88,1.5559
60,0.75,0.65,5,150,0.5361,0.064,-0.2334,1.6981,350,349,0.5771,1.4077,33.97,1.8786
60,0.75,0.65,5,200,0.6007,0.074,-0.2344,2.1324,347,346,0.5879,1.4662,38.2,1.5862
60,0.75,0.7,2,150,0.5202,0.0621,-0.247,1.62,517,516,0.5609,1.3437,23.27,1.9962
60,0.75,0.7,2,200,0.481,0.057,-0.2797,1.4258,487,486,0.5667,1.312,22.75,1.6181
60,0.75,0.7,3,150,0.5354,0.0648,-0.2739,1.7295,442,441,0.5769,1.3845,27.75,2.0247
60,0.75,0.7,3,200,0.4746,0.0568,-0.2835,1.4202,422,421,0.5711,1.3301,25.96,1.6452
60,0.75,0.7,5,150,0.5343,0.0638,-0.2338,1.6895,350,349,0.58,1.4073,33.96,1.9612
60,0.75,0.7,5,200,0.601,0.0741,-0.2324,2.1395,347,346,0.5908,1.4681,38.34,1.6739
60,1.0,0.55,2,150,0.4918,0.058,-0.2579,1.4652,536,535,0.5616,1.3067,21.1,1.7132
