ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
XLI,2012-09-26,2012-10-02,28.5366,28.7553,780,170.64,15.1787,15.2712,30.4499,False,4,RSI_EXIT,True,True,True,IS
SPY,2012-09-26,2012-10-03,113.9103,114.5369,195,122.19,2.1053,2.1115,4.2169,False,5,RSI_EXIT,True,True,True,IS
QQQ,2012-09-26,2012-10-04,61.1449,61.6181,364,172.24,2.995,2.9968,5.9918,False,6,RSI_EXIT,True,True,True,IS
XLB,2012-09-26,2012-10-04,13.8786,13.9415,1605,100.99,19.4247,19.4721,38.8968,False,6,MAX_HOLD,True,True,True,IS
QQQ,2012-10-11,2012-10-16,60.0319,59.8821,373,-55.89,3.0384,3.0417,6.0802,False,3,RSI_EXIT,True,True,True,IS
XLK,2012-10-11,2012-10-17,12.7218,12.6779,1764,-77.38,20.1787,20.1813,40.36,False,4,RSI_EXIT,True,True,True,IS
XLV,2012-11-09,2012-11-19,31.2541,31.4686,717,153.78,14.9895,15.0748,30.0643,False,6,MAX_HOLD,True,True,True,IS
XLP,2012-11-15,2012-11-19,23.8019,24.1023,940,282.33,16.0542,16.2508,32.305,False,2,RSI_EXIT,False,True,True,IS
SPY,2012-11-15,2012-11-20,107.5141,109.8094,208,477.43,2.1807,2.2076,4.3883,False,3,RSI_EXIT,False,True,True,IS
IWM,2012-11-15,2012-11-20,64.1789,65.7353,348,541.62,2.9244,2.9567,5.8811,False,3,RSI_EXIT,False,True,True,IS
XLB,2012-11-15,2012-11-20,13.2378,13.5287,1691,491.8,19.9047,20.1984,40.103,False,3,RSI_EXIT,False,True,True,IS
QQQ,2012-12-31,2013-01-02,57.0447,59.7322,399,1072.29,3.2003,3.2729,6.4732,False,1,RSI_EXIT,True,True,False,IS
XLK,2012-12-31,2013-01-02,11.9544,12.4935,1908,1028.48,21.1258,21.7298,42.8556,False,1,RSI_EXIT,True,True,False,IS
XLE,2012-12-31,2013-01-02,21.5445,22.5127,1058,1024.4,16.8407,17.3928,34.2335,False,1,RSI_EXIT,True,True,False,IS
XLI,2012-12-31,2013-01-02,29.2341,30.453,779,949.55,15.4392,15.9563,31.3954,False,1,RSI_EXIT,True,True,False,IS
XLV,2012-12-31,2013-01-03,31.7533,32.7658,718,727.03,15.1456,15.5645,30.7101,False,2,RSI_EXIT,True,True,False,IS
XLB,2013-02-21,2013-02-28,14.5329,14.6686,1636,221.97,20.2663,20.4591,40.7255,False,5,RSI_EXIT,True,True,True,IS
IWM,2013-04-04,2013-04-09,76.8482,77.992,309,353.45,2.7827,2.7999,5.5826,False,3,RSI_EXIT,True,True,True,IS
XLE,2013-04-04,2013-04-09,23.9563,24.1795,994,221.79,17.0007,17.1308,34.1315,False,3,RSI_EXIT,True,True,True,IS
XLB,2013-06-25,2013-07-03,14.9483,14.7723,1601,-281.87,20.2459,20.092,40.338,False,6,MAX_HOLD,True,True,True,IS
XLV,2013-08-13,2013-08-21,41.3943,40.2458,576,-661.5,14.9082,14.6083,29.5165,False,6,MAX_HOLD,True,True,True,IS
SPY,2013-08-20,2013-08-23,132.698,133.8884,178,211.9,2.0876,2.1003,4.1879,False,3,RSI_EXIT,True,True,False,IS
IWM,2013-08-19,2013-08-23,85.9633,87.255,275,355.22,2.6107,2.6385,5.2492,False,4,RSI_EXIT,True,True,False,IS
XLE,2013-08-20,2013-08-23,24.9474,25.3671,948,397.82,16.6824,16.9129,33.5953,False,3,RSI_EXIT,True,True,False,IS
XLP,2013-08-16,2013-08-26,28.8769,28.6666,822,-172.88,16.1169,16.0633,32.1802,False,6,RSI_EXIT,True,True,True,IS
